Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CO,2019,"12        ",Female,18,Right-Handed,167,25,163,2,Car,20,.441,39,Basketball,500,500,300,300,800,1000,24,"Right foot",70,70,"Same length",March,Spring,No,No,Seafood,Juice,Art,8,10,3,"Yes - other","Text messaging",100,100,10,2,1,2,3,2,15,24,20,2,0,0,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"Education/Youth development"
USA,IL,2019,"12        ",Female,17,Right-Handed,175,25,173.5,2,Car,12,0.46,43,Other,700,200,300,400,500,500,25,"Same length",71,76,"Ring finger",August,Summer,No,Yes,Pizza/Pasta,Water,Music,7,9,4,"Yes - broadband connection","Cell phone",30,50,3,1,20,4,15,0,12,2,2,0,0,3,"A lot","Undergraduate degree",Pop,"Freeze time",Healthy,Friend,Environment
USA,WA,2019,"11        ",Male,16,Right-Handed,164,24,169,2,Walk,5,0.443,53,Basketball,1000,963,1000,492,150,733,24,,75,100,"Ring finger",January,Summer,No,No,Soups,Water,Art,6,4,7,"Yes - other","Myspace, Facebook, other social networking sites, or blog",0,0,12,6,3,4,0,0,0,1,1,4,0,4,"A lot","Some college","Rap/Hip hop",Telepathy,Healthy,Friend,"Education/Youth development"
USA,IN,2019,"12        ",Female,17,Right-Handed,163,23,159,1,Car,3,0.467,46,Baseball/Softball,1000,1000,1000,1000,500,750,22,"Right foot",75,75,"Same length",December,Fall,No,No,Meat,Water,English,8,6,3,"Yes - broadband connection","In person",20,14,10,1,5,30,15,0,10,10,20,10,22,10,"A lot","Graduate degree","Rap/Hip hop",Fly,Rich,"Religious figure",Health
USA,IN,2019,"11        ",Male,16,Right-Handed,185,20,189,Eng,Walk,30,0.44,72,None,10000,10000,500,10000,1000,10000,,,10,9,"Ring finger",August,Spring,No,No,Pizza/Pasta,Water,"Physical education",6,13,6,"Yes - broadband connection","Text messaging",6,10,5,3,2,5,4,10,10,8,5,1,150,100,"A lot","High school",,"Freeze time",,,"Wildlife, animals"
USA,RI,2019,"12        ",Female,16,Right-Handed,167.6,25.9,25,2,Other,15,.471,36,Lacrosse,800,500,900,1000,0,600,25.8,"Same length",5.4,5,"Index finger",May,Fall,Yes,No,Poultry,"Soft drink (non-caffeinated)",Music,7,8,4,"Yes - other","Text messaging",50,60,0,0,3,1,4,0,1,2,1,5,0,1,Some,"Graduate degree",Pop,Telepathy,Rich,Relative,"International aid"
USA,CO,2019,"7         ",Female,13,Right-Handed,172,174,164,1,Car,25,0.724,35,Baseball/Softball,250,250,350,650,250,350,161,"Right foot",7,7,"Same length",October,Fall,No,No,Pizza/Pasta,"Soft drink (caffeinated)",Science,10,12,8,"Yes - other","Text messaging",0,1,2,1,1,4,3,1,1,3,1,4,7,2,Some,"Some college","Rap/Hip hop","Freeze time",Healthy,Relative,"Arts, culture, sports"
USA,KS,2019,"12        ",Female,17,Left-Handed,5'7.5,23,59,1,Car,5,.299,46,Other,1000,800,900,1000,50,200,23,,7.5,7,"Index finger",August,Summer,No,No,Salads,Water,"Physical education",7,8,5,"Yes - other","Text messaging",10,8,4,1,1,3,6,0,8,2,3,4,15,0,Some,"Graduate degree",Pop,Fly,Happy,Relative,"Wildlife, animals"
USA,MA,2019,"11        ",Male,15,Right-Handed,177,26,70.5,2,,10,0.367,34,Basketball,524,503,310,187,1000,1000,26,"Left foot",90,90,"Same length",September,Winter,Yes,No,Other,"Soft drink (caffeinated)",Other,8,6,5,"Yes - broadband connection","Text messaging",50,20,5,0,12,7,20,15,1,3,15,0,0,2,Some,"Graduate degree",Pop,Invisibility,Happy,Relative,Religious
USA,SD,2019,"9         ",Male,14,Right-Handed,155,,,1,Walk,7,.371,51,Athletics,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2019,"5         ",Female,10,Right-Handed,140,19,134,2,Car,10,64,82,Bowling,1000,1000,1000,1000,0,0,19,"Same length",65,55,"Index finger",June,Winter,No,No,"Rice/Noodle dishes","Soft drink (caffeinated)",English,10,13,5,"Yes - broadband connection","Internet chat or instant messaging",30,20,15,5,5,30,6,1,5,4,5,6,0,5=———,"Very little","Graduate degree","Rap/Hip hop",Invisibility,Healthy,Relative,"Wildlife, animals"
USA,MA,2019,"12        ",Female,17,Right-Handed,165,23,161,1,Car,25,.461,56,Athletics,700,500,200,300,800,900,24,"Left foot",80,85,"Ring finger",September,Fall,Yes,No,Pizza/Pasta,Water,Art,7.5,9,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",30,35,35,2,24,10,9,1,20,1,30,6,4,2,"A lot","Graduate degree",Other,"Freeze time",Happy,Relative,Health
USA,WA,2019,"11        ",Female,16,Left-Handed,157,25,158,2,Car,"3 min",0.881,68,Athletics,701,96,102,508,37,75,25,"Same length",60,60,"Same length",July,Summer,No,No,Pizza/Pasta,Water,English,6-7,8-9,6,"No internet connection","In person",40-50,20-30,6,0,1,10,3,0,4,3,5,8,0,3,"Very little",,Other,"Freeze time",Happy,Relative,Health
USA,WA,2019,"11        ",Male,17,Left-Handed,171,24,165,4,Bus,30,.4,57,Skateboarding/Rollerblading,500,700,900,900,400,600,24,"Same length",10,9,"Index finger",October,Fall,Yes,No,"Rice/Noodle dishes","Energy drink","Computers and technology",6,10,4,"Yes - other","Internet chat or instant messaging",90,400,75,4,2,21,3,1,77,80,25,1,0,7,Some,"Graduate degree",Other,Telepathy,Famous,"Religious figure",Other
USA,OH,2019,"7         ",Female,13,Right-Handed,161,23,158,1,Bus,15,.887,51,Dancing,850,600,1000,800,200,450,23,"Same length",75,65,"Index finger",September,Summer,Yes,No,Meat,Water,Other,7,5,4,"Yes - other","Text messaging",6,150,40,3,5,50,100,3,100,100,50,2,2,1,"A lot",Other,Pop,Invisibility,Healthy,Friend,Health
USA,MA,2019,"4         ",Male,10,Left-Handed,?,?,?,2,Car,3,0.453,32,Soccer,37,16,102,743,1000,1000,?,"Same length",?,?,"Same length",January,Summer,No,No,Pizza/Pasta,Other,"Mathematics and statistics",8,?,5,"Yes - other","Internet chat or instant messaging",9,14,4,2,0,0,2,7,24,1,24,0,?,1,"A lot",Other,"Rap/Hip hop","Freeze time",Rich,Other,Other
USA,GA,2019,"6         ",Female,11,Right-Handed,150,18.5,126,4,Car,10,0.604,46,Dancing,1000,1000,1000,1000,950,950,18.5,"Same length",70,75,"Ring finger",August,Summer,No,No,Soups,Water,,9.5,12.5,4,"Yes - broadband connection","Text messaging",2,2,25,1,4,50,15,2,1,1,5,2,0,2,None,"Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,"Education/Youth development"
USA,CO,2019,"7         ",Female,12,Right-Handed,74,12,76,1,Car,5,.763,5,Walking/Hiking,1000,1000,1000,1000,200,100,12,,,,,March,Spring,No,No,Salads,Water,English,8,5,6,"Yes - broadband connection","In person",36,40,,,,,,,,,,,,,"Very little","Graduate degree",Pop,Invisibility,Happy,Actor,"International aid"
USA,IN,2019,"12        ",Female,18,Ambidextrous,170,,175,1,Car,10,.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,OH,2019,"12        ",Female,17,Ambidextrous,155,,,1,Bus,20,,,Other,,,,,,,,,,,,May,Summer,Yes,No,Salads,Water,Science,7,10,4,"Yes - other","Cell phone",20,35,0,9,7,,30,0,7,,,14,0,,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"Arts, culture, sports"
USA,IN,2019,"11        ",Male,17,Right-Handed,183,30,183,1,Car,15,.322,53,"Football (American)",500,500,700,900,300,400,30,"Same length",64,64,"Same length",January,Winter,Yes,No,"Rice/Noodle dishes",Water,History,6,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",20,50,2,1,3,4,2,2,5,2,2,0,0,3,"Very little","Graduate degree",Country,Telepathy,Happy,Relative,Religious
USA,NY,2019,"10        ",Female,16,Right-Handed,165,40,105,1,"Rail (Train/Tram/Subway)",75,.817,104,Skateboarding/Rollerblading,900,1000,750,850,500,1000,42,"Left foot",91,82,"Index finger",December,Summer,Yes,No,Pizza/Pasta,Water,English,7,8,5,"Yes - other","Text messaging",105,97,5,7,15,7,1,0,8,5,10,3,0,4,Some,"Undergraduate degree","Rock and roll",Fly,Happy,"Religious figure","International aid"
USA,IN,2019,"12        ",Male,18,Right-Handed,179.8,,,1,Bus,20," 0.78",50,Running/Jogging,800,900,800,900,400,700,,"Left foot",,,"Ring finger",December,Winter,No,No,Poultry,Water,Art,5,8,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",2,1,0,7,1,5,5,7,0,7,20,14,35,1,"A lot","Graduate degree",Pop,"Freeze time",Rich,Actor,Health
USA,IN,2019,"11        ",Male,16,Right-Handed,175,,,2,Car,15,.24,42,Lacrosse,800,900,700,600,900,1000,,"Right foot",,,"Index finger",February,Spring,No,No,Meat,Water,"Mathematics and statistics",7:30,10-12,5,"Yes - broadband connection","Text messaging",30-50,30-50,6,1-2,8-10,5,12-15,6,20,7,20,5,3,6,Some,"Graduate degree","Rap/Hip hop","Super strength",Healthy,"Coach or club leader",Religious
USA,CO,2019,"12        ",Male,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NC,2019,"7         ",Male,13,Right-Handed,"5""7""",9.5,"5""9""",2,Bus,10,294,32,"Football (American)",1000,781,0,439,0,0,10,"Left foot",3.5,3,"Index finger",July,,No,No,Pizza/Pasta,Water,"Physical education",8,10,6,"Yes - dial-up connection","Cell phone",300,400,0,,0,168,48,48,48,59,168,168,0,168,Some,"Graduate degree","Rap/Hip hop","Freeze time",Healthy,Other,Other
USA,NY,2019,"12        ",Male,19,Right-Handed,181.4,28,180,1,"Rail (Train/Tram/Subway)",25-30,0.88,64,Basketball,1000,1000,1000,1000,1000,1000,28,"Same length",8,3,"Index finger",January,Spring,Yes,No,Meat,Juice,"Mathematics and statistics",,,,,,,,,,,,,,,,,,,,,,,,,,
USA,OH,2019,"7         ",Male,13,Right-Handed,,,,1,Bus,,,,Basketball,,,,,,,,,,,"Index finger",October,Summer,Yes,No,Fruit,Water,"Mathematics and statistics",8,5,4,"Yes - other","Text messaging",100,350,2,0,1,4,2,7,1,1,0,3,0,3,"A lot","Some college","Rap/Hip hop",,,,
USA,CA,2019,"11        ",Female,16,Right-Handed,172,23,66,2,Car,15,.491,42,Dancing,861,727,600,600,784,888,23,"Same length",70,72,"Ring finger",August,Fall,No,No,Meat,Water,Art,6,9,4,"Yes - broadband connection","In person",4,5,3,.5,24,5,2,8,3,.5,98,5,0,3,"A lot","Graduate degree",Other,"Freeze time",Rich,"Business person","International aid"
USA,SC,2019,"11        ",Male,16,Right-Handed,177,26,186,1,Bus,45,.387,58,Athletics,1000,1000,1000,1000,0,1000,27,"Left foot",85,87,"Same length",December,Winter,No,No,Pizza/Pasta,Water,"Mathematics and statistics",3,8,5,"Yes - broadband connection","In person",10,30,6,15,15,8,10,0,15,15,15,0,0,8,Some,"Graduate degree",Other,Invisibility,Happy,"Sports person",Health
USA,TX,2019,"12        ",Male,17,Ambidextrous,190,27,200,1,Car,"4 min",.311,45,Athletics,1000,1000,600,400,700,1000,29,"Left foot",120,80,"Index finger",November,Fall,No,No,Fruit,Water,Science,7,5,1,,"In person",8,4,5,1,1,0,100,1,3,2,1,2,10,1,Some,,"Rap/Hip hop","Freeze time",Famous,"Sports person",Environment
USA,WA,2019,"11        ",Female,16,Right-Handed,170,22,177,1,Car,15,0.365,36,Basketball,455,513,529,428,0,0,22,"Same length",60,60,"Same length",July,Summer,Yes,No,Other,Water,"Mathematics and statistics",3-6,3-6,7,"Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",100,100,56,3,9,138,17,0,168,168,160,8,0,168,None,"Some college",Country,Telepathy,Happy,Relative,Health
USA,MA,2019,"12        ",Female,17,Right-Handed,170,24,"163 ",1,Walk,20,0.987,60,Swimming,1000,1000,1000,1000,1000,1000,25,"Left foot",60,65,"Ring finger",May,Fall,No,No,Desserts,Water,Music,8,10,5,"Yes - other","Cell phone",18,20,4,1,5,3,3,0,5,4,2,6,30,2,"A lot","Undergraduate degree",Other,Telepathy,Happy,Relative,Health
USA,OR,2019,"10        ",Male,17,Right-Handed,180,26,177,2,Car,16,0.654,49,Baseball/Softball,600,400,200,600,700,1000,27,"Left foot",24,28,"Ring finger",May,Spring,Yes,No,Meat,Milk,"Mathematics and statistics",7,9,3,"Yes - broadband connection","Text messaging",30,40,5,5,5,6,5,4,7,7,3,5,3,3,"A lot","Undergraduate degree","Rap/Hip hop","Freeze time",Rich,"Business person",Religious
USA,CA,2019,"7         ",Female,12,Left-Handed,163,24,150,1,Car,10,1.173,55,Dancing,1000,1000,1000,1000,332,503,24,"Same length",79,77,"Index finger",August,Summer,No,No,"Rice/Noodle dishes","Soft drink (non-caffeinated)",English,8,10,4,"Yes - other","Cell phone",10,10,10,2,2,3,1,2,3,3,5,2,0,1,Some,"Undergraduate degree",Pop,Telepathy,Happy,Actor,Environment
USA,TN,2019,"11        ",Female,17,Right-Handed,160,23,156,1,Car,7,0.425,43,Gymnastics,900,900,900,900,700,800,23,"Same length",80,70,"Index finger",December,Summer,No,No,Salads,Water,Science,8,6,6,"Yes - other","In person",30,30,10,10,10,4,0,0,10,1,10,0,20,7,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Happy,"Doctor or nurse","International aid"
USA,CA,2019,"12        ",Female,16,Right-Handed,159,"21 cm",,2,Car,20,0.382,36,Athletics,1000,500,500,1000,300,1000,21,"Left foot",78,77,"Index finger",November,Summer,No,No,"Rice/Noodle dishes",Water,Science,7,9,4,"Yes - other","Text messaging",100,130,5,0,21,3,20,0,25,1,40,0,0,6,"A lot","Graduate degree",Pop,Invisibility,Rich,"Musician or singer",Environment
USA,PA,2019,"12        ",Female,17,Right-Handed,166,21,167,2,Car,"10 ",".512 ",58,Dancing,1000,925,825,755,155,513,21,"Same length","7 1/2",7,"Index finger",July,Fall,Yes,No,Desserts,Water,History,"4 ",10,4,"Yes - other","Text messaging",50,200,10,5,23,7,0,0,72,167,50,24,0,3,"A lot","High school",Other,Telepathy,Happy,Actor,"Arts, culture, sports"
USA,IL,2019,"10        ",Male,15,Ambidextrous,175cm,27cm,75cm,2,Car,13min,0.384,35sec,Soccer,1000,1000,1000,1000,310,674,27cm,"Same length",140mm,142mm,"Ring finger",May,Summer,No,No,Meat,Water,History,8hr,11hr,5,"Yes - broadband connection","Text messaging",,,15hr,15min,20min,13hr,20hr,17hr,50hr,2hr,1hr,2hr,0min,4hr,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Happy,"Sports person",Environment
USA,NC,2019,"12        ",Male,17,Right-Handed,171,24,171,1,Walk,5,.644,32,"Martial Arts",700,750,700,800,900,800,24,"Left foot",70,69,"Index finger",September,Winter,Yes,No,"Rice/Noodle dishes",Tea,Science,7.5,5.5,2,"Yes - broadband connection","Internet chat or instant messaging",0,0,20,1,6,0,0,20,0,0,40,0,0,0,Some,"Graduate degree",Other,"Freeze time",Rich,Other,Environment
USA,NC,2019,"11        ",Male,17,Right-Handed,168,27,180,2,Car,3,0.369,59,"Table Tennis",900,700,700,800,975,975,27,"Same length",85,79,"Index finger",July,Winter,No,Yes,Pizza/Pasta,Water,"Mathematics and statistics",6,9,4,"Yes - broadband connection",,200,200,4,0,4,4,.5,0,12,12,3,0,0,10,Some,"Graduate degree",Pop,Telepathy,Happy,"Business person",Health
USA,WA,2019,"11        ",,,,177.8,,,,,,.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IL,2019,"12        ",Female,17,Right-Handed,172,23,176.5,1,Car,5,0.31,58,Tennis,900,750,600,550,300,300,22,"Right foot",90,75,"Index finger",January,Fall,No,No,Poultry,Water,Languages,8,8.5,7,"Yes - other","Cell phone",25,40,5,0,8,4,12,0,12,10,15,0,0,3,Some,"Undergraduate degree",Other,Telepathy,Happy,"Community leader or elder",Health
USA,WA,2019,"11        ",Female,18,Right-Handed,157.4,22,62,1,Walk,15,0.724,45,Athletics,492,492,492,471,0,545,9,"Same length",0.023,0.023,"Ring finger",April,Summer,No,No,Pizza/Pasta,Water,"Computers and technology",9,11,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",100,100,5,24,2,5,4,10,24,24,24,10,0,24,Some,Other,"Rap/Hip hop",Invisibility,Happy,"Doctor or nurse",Health
USA,OH,2019,"12        ",Female,17,Right-Handed,168,,,3,Walk,13,,,Swimming,1000,1000,900,1000,400,600,,"Same length",,,"Ring finger",July,Fall,Yes,No,Breads/Sandwiches,Juice,English,7,9,5,"Yes - broadband connection","In person",8,7,0,0,4,20,15,0,3,2,10,4,0,12,Some,"Undergraduate degree","Punk rock",Telepathy,Healthy,"Community leader or elder",Environment
USA,IN,2019,"10        ",Male,15,Right-Handed,184,27,170,2,Bus,35,.752,52,"Martial Arts",900,750,750,850,800,900,27,"Same length",8,75,"Index finger",June,Fall,No,No,"No favorite",Milk,Science,7,5,4,"Yes - broadband connection","Text messaging",15,70,5,0,9,8,3,8,1,3,9,5,0,5,Some,"Graduate degree","Rock and roll","Freeze time",Happy,Friend,Environment
USA,NC,2019,"11        ",Male,16,Right-Handed,161,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WI,2019,"12        ",Male,18,Right-Handed,183,27.7,187,1,Car,9,0.347,44,Basketball,802,658,481,717,230,561,27.5,"Right foot",87,90,"Ring finger",May,Summer,No,No,Fruit,Water,Science,6,8,4,"Yes - broadband connection","Internet chat or instant messaging",4,8,10,2,2,15,15,2,5,1,10,8,1,2,None,"Graduate degree","Rap/Hip hop",Fly,Happy,"Sports person",Health
USA,PA,2019,"12        ",Male,17,Right-Handed,5'10,5'11,5'10,1,Car,"8 min",.314,53,"Hockey (Ice)",500,500,800,600,300,700,28,"Left foot",58,59,"Ring finger",May,Winter,No,No,Meat,"Sports drink",Art,6-7,9-10,4,"Yes - broadband connection","Text messaging",9,10,5-6,1,10,7,6,12,10,2,8,3,16-20,1,Some,"Undergraduate degree",Techno/Electronic,"Freeze time",Healthy,"Sports person",Other
USA,NJ,2019,"12        ",Male,17,Right-Handed,170,26,180,2,Walk,15,.277,40,Soccer,462,476,641,501,326,999,26,"Same length",100,100,"Ring finger",November,Fall,Yes,No,Poultry,Water,Science,6,12,4,"Yes - other","Text messaging",20,100,20,10,0,20,40,20,30,10,30,20,0,20,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Healthy,"Sports person",Health
USA,CA,2019,"12        ",Female,17,Right-Handed,162,25,115,1,Car,15,0.379,38,Basketball,1000,850,1000,700,300,550,26,"Left foot",67,72,"Ring finger",May,Spring,No,No,"Rice/Noodle dishes",Water,Music,7,9,5,"Yes - other","In person",154,135,12,5,20,6,10,0,20,12,35,10,0,7,"A lot","Graduate degree",Gospel,Fly,Happy,"Religious figure",Religious
USA,AZ,2019,"6         ",Female,12,Right-Handed,151,23,147,2,Car,5,0.250,480.1,Other,620,545,610,695,107,112,23,"Same length",70,60,"Index finger",January,Winter,Yes,No,Pizza/Pasta,Milk,English,8,9,3,"Yes - other","Cell phone",15,20,3,1,1,1,1,2,2,2,3,1,0,0,Some,"Graduate degree",Country,Fly,Happy,Other,Health
USA,AZ,2019,"6         ",Female,12,Right-Handed,515,23,149,1,Bicycle,10,.278,.39,Gymnastics,750,150,700,250,0,600,23,"Same length",7,6,"Index finger",March,Summer,No,No,Fruit,Water,Art,9,14,4,"Yes - other","Text messaging",11,17,3,3,2,9,5,3,16,1,11,0,0,14,"A lot","Graduate degree",Other,Invisibility,Rich,Actor,"Wildlife, animals"
USA,CA,2019,"12        ",Female,17,Right-Handed,167,24,71,2,Walk,3,.367,37,Walking/Hiking,1000,1000,1000,700,0,1000,24,"Same length",110,115,"Same length",March,Spring,No,Yes,Desserts,Water,Art,5,6,3,"Yes - broadband connection","In person",100,150,8,1,10,3,5,0,12,8,8,9,8,16,"A lot","Graduate degree",Pop,"Freeze time",Happy,"Musician or singer","International aid"
USA,MT,2019,"11        ",Female,16,Right-Handed,181,23,180,1,Car,7,0.41,58,Athletics,750,800,700,550,15,500,23,"Same length",75,75,"Same length",March,Spring,Yes,No,Meat,Water,Science,9,11,6,"Yes - broadband connection","In person",200,400,49,2,20,50,10,0,15,12,2,0,0,5,Some,"Graduate degree",Other,"Freeze time",Happy,"Religious figure","Wildlife, animals"
USA,CT,2019,"12        ",Male,17,Right-Handed,187.9,,,1,Bicycle,10,.56,40,"Football (American)",674,594,524,610,572,642,,,,,"Ring finger",July,Fall,No,No,Meat,Water,History,5,8,3,"Yes - other","Text messaging",42,111,7,10,6,10,18,2,2,3,9,5,0,5,Some,"Graduate degree",Country,Telepathy,Happy,"Musician or singer","Arts, culture, sports"
USA,MA,2019,"10        ",Male,16,Right-Handed,"176 ",25.4,176,2,Car,45,".3 ",48,Running/Jogging,1000,1000,1000,1000,1000,1000,25.4,"Same length",85,76,"Index finger",July,Winter,No,No,Poultry,Water,"Mathematics and statistics",6,8,7,"Yes - other","Text messaging",20,18,12,3,10,6,10,4,4,3,4,9,0,5,Some,"Graduate degree","Rap/Hip hop","Super strength",Happy,Friend,"Wildlife, animals"
USA,CA,2019,"12        ",Female,16,Right-Handed,159,23,161,2,Car,12,0.503,43,Dancing,1000,1000,1000,1000,100,800,23,"Same length",64,65,"Index finger",September,Winter,Yes,No,"Rice/Noodle dishes",Water,Music,6,9,4,"Yes - dial-up connection","Text messaging",10,3,2,1,15,20,5,0,20,1,25,3,0,10,"A lot","Undergraduate degree","Rock and roll",Invisibility,Happy,Relative,Environment
USA,PA,2019,"6         ",Female,11,Right-Handed,157,33,157,"1 ",Bus,4,0.458,83,"Hockey (Field)",1000,950,930,900,20,35,33,"Same length",90,94,"Ring finger",April,Summer,No,No,Fruit,Water,Art,7,10,8,"Yes - other","Internet chat or instant messaging",50,50,24,3,5,10,12,1,5,73,4,7,0,12,Some,"Graduate degree",Pop,Telepathy,Happy,"Sports person","Wildlife, animals"
USA,WA,2019,"10        ",,,,173,,,,,,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,VT,2019,"10        ",Female,17,Right-Handed,160,21,162,1,Car,5,.683,55,Lacrosse,1000,800,800,800,300,900,20,"Right foot",101,103,"Ring finger",August,Fall,Yes,No,Fruit,Water,"Physical education",7,6,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",25,25,1,1,2,5,2,0,2,1,2,3,0,1,Some,"Graduate degree",Gospel,Fly,Happy,Teacher,Health
USA,IN,2019,"12        ",Female,16,Left-Handed,171,25,159,3,Car,"5 ",.342,63,Walking/Hiking,600,300,400,200,800,800,"25.5 ","Left foot",80,75,"Index finger",November,Spring,No,No,Fruit,"Soft drink (caffeinated)",Music,7,9,3,"Yes - other","Text messaging",1000,1000,4,10,10,5,6,0,20,20,40,30,25,10,Some,"Graduate degree",Pop,Invisibility,Happy,Relative,Health
USA,CO,2019,"12        ",Female,16,Right-Handed,"152 ",20,148,1,Car,17,0.448,46,Soccer,,,,,,,20,"Same length",72,75,"Index finger",October,Fall,Yes,Yes,Breads/Sandwiches,Water,History,7,11,5,"Yes - broadband connection","In person",11,35,50,4,14,10,8,0,10,3,14,2,0,3,"A lot",Other,Pop,Invisibility,Happy,"Doctor or nurse",Health
USA,MT,2019,"6         ",Female,11,Right-Handed,166.5,27,66.91,2,Bus,"30 mi",0.402,42,Basketball,519,246,1000,1000,305,503,26,"Right foot",75,70,"Index finger",June,Summer,No,No,Fruit,Water,"Mathematics and statistics",8,10,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog","500 ",520,5,1,5,10,14,2,7,14,14,7,0,1,"A lot","Graduate degree",Pop,Telepathy,Healthy,Friend,Other
USA,MD,2019,"12        ",Female,16,Right-Handed,164,25,160,2,Bus,25,.415,47,Cycling,700,500,600,700,1000,1000,24,"Right foot",72,83,"Ring finger",February,Winter,No,Yes,"Rice/Noodle dishes",Water,Science,6,10,6,"Yes - broadband connection","Internet chat or instant messaging",30,100,30,1,10,2,1,3,10,2,40,4,0,2,Some,"Graduate degree","Punk rock","Freeze time",Rich,Friend,"Education/Youth development"
USA,CA,2019,"9         ",Female,15,Right-Handed,121.9,22,154,2,Car,8,0.498,35,None,102,96,305,487,0,754,22,"Same length",71,71,"Same length",March,Summer,No,No,"No favorite",Water,English,7,10,5,"Yes - other","In person",500,500,8,2,1,5,0,0,0,24,0,3,0,0,None,Other,"Rap/Hip hop","Super strength",Famous,Other,Health
USA,SC,2019,"12        ",Male,17,Right-Handed,183,29,176,1,Car,8,.319,41,Cycling,750,750,500,500,250,1000,29,"Same length",900,790,"Index finger",January,Fall,Yes,No,Other,Water,"Physical education",7,12,5,"Yes - broadband connection","Text messaging",55,35,55,2,13,15,8,5,0,7,25,6,0,8,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,"Sports person",Religious
USA,IN,2019,"12        ",Male,17,Left-Handed,183,25,182,1,Car,7,0.391,39,Walking/Hiking,700,300,500,400,1000,1000,26,,101,80,"Index finger",October,Winter,Yes,No,Seafood,Water,History,6,8,4,"Yes - broadband connection","Internet chat or instant messaging",2,5,5,0.2,6,14,2,20,2,0.5,10,0,15,2,Some,"Graduate degree","Rock and roll","Freeze time",Happy,Relative,Health
USA,IN,2019,"11        ",Female,17,Right-Handed,159,24,164,3,Car,10,0.455,58,Tennis,900,300,800,900,1000,1000,24,"Same length",80,80,"Index finger",August,Summer,Yes,No,Pizza/Pasta,Water,Science,6,9,5,"Yes - broadband connection","Text messaging",100,100,30,2,6,3,4,0,55,60,100,0,0,6,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,Health
USA,CO,2019,"12        ",Female,17,Right-Handed,640,25,40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2019,"12        ",Female,17,Right-Handed,175,24,175,2,Car,45,0.319,43,Swimming,700,50,900,500,20,1000,26,"Left foot",82,79,"Index finger",November,Summer,Yes,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",5,10,6,"Yes - other","Internet chat or instant messaging",3,8,12,1,5,7,2,0,17,2,5,9,45,2,"A lot","Graduate degree",Pop,Fly,Happy,"Business person",Health
