Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,DE,2019,"12        ",Male,17,Right-Handed,12.95,25.4,170,1,Car,20,0.469,46,"Football (American)",1000,950,1000,1000,1000,1000,25.4,"Same length",94,87,"Index finger",October,Fall,Yes,No,Meat,Water,Science,6,9,5,"Yes - broadband connection","Text messaging",35,20,20,40,15,15,,15,15,15,40,5,0,15,"A lot","High school","Rap/Hip hop","Super strength",Happy,"Business person",Health
USA,IN,2019,"12        ",Male,17,Right-Handed,185,26,180,1,Car,13,0.614,42,Swimming,1000,866,872,968,882,952,25,"Right foot",74,77,"Ring finger",March,Winter,Yes,No,Breads/Sandwiches,Water,"Computers and technology",8,10,5,"Yes - broadband connection","Text messaging",75,150,20,3,20,5,0,20,5,20,50,0,15,3,"A lot","Undergraduate degree","Rock and roll","Freeze time",Happy,Relative,Environment
USA,NH,2019,"12        ",Male,17,Right-Handed,190.5,35,190,1,Car,15,.357,45,Baseball/Softball,900,900,750,600,500,500,33,"Right foot",76,71,"Index finger",March,Summer,No,No,Fruit,Water,History,7,10,4,"Yes - broadband connection","Internet chat or instant messaging",20,50,55,1,5,0,18,0,28,5,30,30,15,1,"Very little","Graduate degree",Pop,"Freeze time",Happy,"Sports person","International aid"
USA,MT,2019,"12        ",Female,27,Right-Handed,164,22,148,3,Bicycle,10,0.6,35,Dancing,1000,1000,1000,1000,200,600,22,"Same length",7,7,"Same length",August,Fall,No,No,Fruit,Water,Art,8,9,1,"Yes - other","Cell phone",10,10,2,1,4,2,4,0,1,1,1,0,37,40,Some,"Graduate degree",Classical,Fly,Healthy,Friend,"Wildlife, animals"
USA,NY,2019,"10        ",Male,15,Left-Handed,185,28,168,2,"Rail (Train/Tram/Subway)",45,3.46,50,Soccer,1000,1000,1000,1000,1000,1000,28,"Same length",1000,600,"Index finger",August,Summer,Yes,No,Meat,Water,History,6,9,5,"Yes - other","In person",0,200,12,1,25,10,11,2,5,2,5,4,0,3,Some,Other,"Rock and roll","Freeze time",Happy,Relative,Environment
USA,MI,2019,"9         ",Female,14,Right-Handed,167.6,24.1,167.6,1,Car,15,.734,55,Athletics,700,700,700,500,900,1000,24,"Right foot",7.5,8.5,"Ring finger",January,Summer,Yes,No,Pizza/Pasta,Water,Other,6,9,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",8,20,24,6,8,4,7.5,0,18,2,2,0,0,2,"A lot","High school",Pop,Fly,Famous,Other,Other
USA,AZ,2019,"12        ",Female,37,Right-Handed,170,25,173,1,Car,15,0.377,32,Athletics,802,904,829,529,337,813,25,"Same length",1015,1078,"Ring finger",October,Spring,No,No,Seafood,Water,"Physical education",6,8,6,"Yes - broadband connection","Cell phone",10,15,6,0.75,6,16,2,0,1,0.5,8,4,40,9,Some,"Graduate degree",Country,Fly,Happy,"Community leader or elder","Education/Youth development"
USA,WA,2019,"11        ",Male,16,Right-Handed,174,27.94,230,2,Car,4,.345,34,"Football (American)",1000,1000,1000,1000,430,600,27.94,"Same length",.3,.29,"Index finger",January,Winter,No,No,"No favorite",Water,Other,8,11,5,"Yes - other","Cell phone",20,50,6,1,2,3,3,4,8,7,5,9,0,4,Some,"Some college","Rap/Hip hop","Super strength",Rich,Other,Environment
USA,IL,2019,"12        ",Male,17,Right-Handed,187,28,198,1,Car,15,0.302,41,Basketball,0,0,300,350,0,0,28.5,"Left foot",850,950,"Ring finger",May,Winter,Yes,No,Meat,Water,History,7,9,5,"Yes - other","Internet chat or instant messaging",15,12,0,0,5,2,20,1,5,0,0,2,0,2,Some,"Undergraduate degree","Rap/Hip hop",Telepathy,Happy,"Sports person","International aid"
USA,FL,2019,"12        ",Female,17,Right-Handed,172,22,174,1,Car,15,0.379,47,Soccer,1000,800,1000,1000,200,400,21,"Right foot",63,63,"Same length",December,Winter,Yes,No,Desserts,Water,History,8,12,4,"Yes - broadband connection",Other,6,15,1,1,6,0,18,0,25,2,30,3,8,0,"A lot","Graduate degree",Other,"Freeze time",Happy,"Sports person",Environment
USA,FL,2019,"6         ",Male,12,Right-Handed,149,25,150,2,Car,20,0.511,49,Tennis,706,219,112,433,1000,1000,28,"Left foot",14,12,"Index finger",November,Winter,Yes,Yes,Breads/Sandwiches,Water,History,8,11,3,"Yes - broadband connection","Text messaging",10,9,40,3,20,19,6,2,0,2,24,12,2,2,Some,Other,Jazz,"Freeze time",Healthy,"Business person","Wildlife, animals"
USA,OH,2019,"6         ",Male,12,Right-Handed,157,24,154,1,Bus,30,0.411,43,Walking/Hiking,500,1000,300,600,55,55,23,"Right foot",80,80,"Same length",August,Fall,No,No,Meat,Juice,Art,10,7,5,"Yes - broadband connection","Text messaging",2,3,2,1,0,4,1,10,0,3,1,3,2,1,"Very little","Graduate degree","Punk rock",Telepathy,Healthy,Other,"Wildlife, animals"
USA,FL,2019,"12        ",Male,19,Right-Handed,181,26,180,1,Car,15,0.586,84,Other,508,588,583,209,118,107,26,"Same length",90,100,"Ring finger",January,Winter,No,No,Meat,Water,History,8,10,3,"Yes - dial-up connection","In person",3,3,5,1,7,2,7,0,2,1,2,4,0,1,Some,"Graduate degree","Rap/Hip hop",Fly,Healthy,"Sports person","International aid"
USA,ID,2019,"12        ",Male,24,Right-Handed,180,24,40,2,Walk,3,0.615,64,Skateboarding/Rollerblading,300,300,300,300,1000,1000,24,"Same length",90,90,,August,Fall,No,No,Meat,Water,Science,6,9,2,"Yes - broadband connection","Text messaging",2,20,14,1,25,7,1,0,3,1,30,5,25,0,Some,"Graduate degree",Techno/Electronic,"Freeze time",Rich,Friend,"Education/Youth development"
USA,MA,2019,"12        ",Male,18,Right-Handed,175.5,26,187,1,Car,1,.0059,66,Lacrosse,1000,545,840,139,112,102,26,"Same length",105,105,"Same length",July,Winter,No,No,"Rice/Noodle dishes",Water,Science,5,8,4,"Yes - broadband connection","In person",20,50,10,0,4,10,10,0,1,1,1,5,15,2,"Very little","Graduate degree","Rock and roll",Fly,Happy,"Doctor or nurse",Health
USA,FL,2019,"12        ",Female,17,Right-Handed,175,25.5,176,2,Car,8,.693,61.7,Tennis,750,600,800,700,650,850,26,"Left foot",78,84,"Ring finger",October,Fall,Yes,Yes,Fruit,Water,Science,6,9,6,"Yes - broadband connection","Internet chat or instant messaging",10,25,24,1,10,36,8,30,72,48,72,42,2,12,Some,"Graduate degree",Pop,"Freeze time",Happy,Actor,"International aid"
