ID,REGION,PROVINCIA,COMUNA,NOM_REGION,NOM_PROVIN,NOM_COMUNA,TOTAL_VIVI,PARTICULAR,COLECTIVAS,TOTAL_PERS,HOMBRES,MUJERES,DENSIDAD,INDICE_MAS,INDICE_DEP,IND_DEP_JU,IND_DEP_VE
247,10,102,10209,REGIÓN DE LOS LAGOS,CHILOÉ,QUEMCHI,3860,3832,28,8352,4308,4044,18.9,106.5,52.9,29.2,23.7
254,10,102,10210,REGIÓN DE LOS LAGOS,CHILOÉ,QUINCHAO,3566,3530,36,8088,3941,4147,51.2,95,53.1,30.1,23.1
191,10,103,10301,REGIÓN DE LOS LAGOS,OSORNO,OSORNO,60132,60059,73,161460,77155,84305,168.7,91.5,47.1,29.8,17.2
234,10,103,10302,REGIÓN DE LOS LAGOS,OSORNO,PUERTO OCTAY,4099,4081,18,8999,4721,4278,5,110.4,47.1,28.6,18.5
241,10,103,10303,REGIÓN DE LOS LAGOS,OSORNO,PURRANQUE,7873,7857,16,20369,9976,10393,14,96,53.7,30.8,22.9
244,10,103,10304,REGIÓN DE LOS LAGOS,OSORNO,PUYEHUE,4911,4893,18,11667,5958,5709,7.1,104.4,49.2,28.5,20.7
273,10,103,10305,REGIÓN DE LOS LAGOS,OSORNO,RÍO NEGRO,5670,5662,8,14085,7051,7034,11.1,100.2,53.3,29.8,23.5
292,10,103,10306,REGIÓN DE LOS LAGOS,OSORNO,SAN JUAN DE LA COSTA,5314,5309,5,7512,4011,3501,4.9,114.6,55.8,27.3,28.4
295,10,103,10307,REGIÓN DE LOS LAGOS,OSORNO,SAN PABLO,4235,4229,6,10030,4978,5052,15.9,98.5,54.4,29,25.4
37,10,104,10401,REGIÓN DE LOS LAGOS,PALENA,CHAITÉN,2221,2161,60,5071,3016,2055,0.6,146.8,37.5,23.9,13.6
96,10,104,10402,REGIÓN DE LOS LAGOS,PALENA,FUTALEUFÚ,1433,1409,24,2623,1375,1248,2.1,110.2,43.6,26.2,17.4
