title,site,country,year_release,box_office,director,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
Awakenings,http://www.imdb.com/title/tt0099077/,US,1990,$52.1M,Penny Marshall,Oliver Sacks,Medicine,Known,White,0,Male,Robin Williams
Baadasssss!,http://www.imdb.com/title/tt0367790/,US,2003,$365K,Mario Van Peebles,Melvin Van Peebles,Actor,Known,African American,1,Male,Mario Van Peebles
Baader,http://www.imdb.com/title/tt0309320/,UK,2002,-,Christopher Roth,Andreas Baader,Military,Known,White,0,Male,Frank Giering
Bandit Queen,http://www.imdb.com/title/tt0109206/,UK,1994,$400K,Shekhar Kapur,Phoolan Devi ,Criminal,Known,Indian,1,Female,Seema Biswas
Barabbas,http://www.imdb.com/title/tt0055774/,US,1961,-,Richard Fleischer,Barabbas,Historical,Known,White,0,Male,Anthony Quinn
Basquiat,http://www.imdb.com/title/tt0115632/,US,1996,$2.96M,Julian Schnabel,Jean-Michel Basquiat,Artist,Known,Multi racial,1,Male,Jeffrey Wright
Bathory: Countess of Blood,http://www.imdb.com/title/tt0469640/,UK,2008,-,Juraj Jakubisko,Elizabeth Bathory,Criminal,Known,White,0,Female,Anna Friel
Battle Hymn,http://www.imdb.com/title/tt0050171/,US,1957,-,Douglas Sirk,Dean Hess,Military,Unknown,,0,Male,Rock Hudson
Beau Brummell,http://www.imdb.com/title/tt0046759/,US,1954,-,Curtis Bernhardt,George Brummell,Other,Known,White,0,Male,Stewart Granger
Becoming Jane,http://www.imdb.com/title/tt0416508/,UK,2007,$18.7M,Julian Jarrold,Jane Austen,Author,Known,White,0,Female,Anne Hathaway
Before Night Falls,http://www.imdb.com/title/tt0247196/,US,2000,$4.22M,Julian Schnabel,Reinaldo Arenas,Activist,Known,Hispanic (Latin American),1,Male,Javier Bardem
Behind the Lines,http://www.imdb.com/title/tt0120001/,Canada/UK,1997,$19.3K,Gillies MacKinnon,Siegfried Loraine Sassoon,Military,Known,Multi racial,0,Male,James Wilby
Best,http://www.imdb.com/title/tt0181311/,UK,2000,-,Mary McGuckian,George Best,Athlete,Known,White,0,Male,John Lynch
Beyond the Law,http://www.imdb.com/title/tt0103805/,US,1993,-,Larry Ferguson,Dan Black,Other,Unknown,,0,Male,Charlie Sheen
Beyond the Sea,http://www.imdb.com/title/tt0363473/,US/UK,2004,$6.14M,Kevin Spacey,Bobby Darin ,Musician,Known,White,0,Male,Kevin Spacey
Big Eyes,http://www.imdb.com/title/tt1126590/,US/Canada,2014,$14.5M,Tim Burton,Margaret Keane,Artist,Known,White,0,Female,Amy Adams
Billy the Kid,http://www.imdb.com/title/tt0033389/,US,1941,-,David Miller,Henry McCarty (Billy the Kid),Criminal,Known,White,0,Male,Robert Taylor
Bird,http://www.imdb.com/title/tt0094747/,US,1988,$2.18M,Clint Eastwood,"Charlie ""Bird"" Parker",Musician,Known,Multi racial,1,Male,Forest Whitaker
Birdman of Alcatraz,http://www.imdb.com/title/tt0055798/,US,1962,-,John Frankenheimer,Robert Franklin Stroud,Criminal,Unknown,,0,Male,Burt Lancaster
Blaze,http://www.imdb.com/title/tt0096943/,US,1989,$19.1M,Ron Shelton,Earl Long,Politician,Known,White,0,Male,Paul Newman
Bloodsport,http://www.imdb.com/title/tt0092675/,US,1988,$11.8M,Newt Arnold,Frank Dux,Athlete,Unknown,,0,Male,Jean-Claude Van Damme
Blossoms in the Dust,http://www.imdb.com/title/tt0033407/,US,1941,-,Mervyn LeRoy,Edna Gladney,Other,Unknown,,0,Female,Greer Garson
Blow,http://www.imdb.com/title/tt0221027/,US,2001,$52.9M,Ted Demme,George Jung,Criminal,Known,White,0,Male,Johnny Depp
Blue,http://www.imdb.com/title/tt0106438/,UK,1993,$1.72M,Derek Jarman,Derek Jarman,Other,Unknown,,0,Male,Derek Jarman
Blue Caprice,http://www.imdb.com/title/tt2027064/,US,2013,$86.7K,Alexandre Moors,John Allen Muhammad,Criminal,Known,African American,1,Male,Isaiah Washington
Bobby Jones: Stroke of Genius,http://www.imdb.com/title/tt0375104/,US,2004,$2.69M,Rowdy Herrington,Bobby Jones,Athlete,Unknown,,0,Male,Jim Caviezel
Born on the Fourth of July,http://www.imdb.com/title/tt0096969/,US,1989,$70M,Oliver Stone,Ron Kovic,Military / activist,Unknown,,0,Male,Tom Cruise
Bound for Glory,http://www.imdb.com/title/tt0074235/,US,1976,-,Hal Ashby,Woody Guthrie,Singer,Known,White,0,Male,David Carradine
Boys Don't Cry,http://www.imdb.com/title/tt0171804/,US,1999,$11.5M,Kimberly Peirce,Brandon Teena,Other,Unknown,,0,Male,Hilary Swank
Boys Town,http://www.imdb.com/title/tt0029942/,US,1938,-,Norman Taurog,Father Edward Flanagan,Other,Known,White,0,Male,Spencer Tracy
Braveheart,http://www.imdb.com/title/tt0112573/,US,1995,$75.6M,Mel Gibson,William Wallace,Military,Known,White,0,Male,Mel Gibson
Breach,http://www.imdb.com/title/tt0401997/,US,2007,$33M,Billy Ray,Robert Hanssen,Criminal,Known,White,0,Male,Chris Cooper
Brigham Young,http://www.imdb.com/title/tt0032281/,US,1940,-,Henry Hathaway,Brigham Young,Other,Known,White,0,Male,Dean Jagger
Bronson,http://www.imdb.com/title/tt1172570/,UK,2008,$105K,Nicolas Winding Refn,Charles Bronson,Criminal,Unknown,,0,Male,Tom Hardy
"Brother Sun, Sister Moon",http://www.imdb.com/title/tt0069824/,UK,1972,-,Franco Zeffirelli,St. Francis of Assisi ,Historical,Known,White,0,Male,Graham Faulkner
Bubble Boy,http://www.imdb.com/title/tt0258470/,US,2001,$5M,Blair Hayes,David Vetter,Medicine,Unknown,,0,Male,Jake Gyllenhaal
Buffalo Bill,http://www.imdb.com/title/tt0036677/,US,1944,-,William A. Wellman,William Cody,Other,Known,White,0,Male,Joel McCrea
Bugsy,http://www.imdb.com/title/tt0101516/,US,1991,$49.1M,Barry Levinson,Ben 'Bugsy' Siegel,Criminal,Known,White,0,Male,Warren Beatty
Burning Blue,http://www.imdb.com/title/tt1811307/,US,2013,-,"D.M.W. Greer With: Trent Ford, Tammy Blanchard, Morgan Spector",DMW Greer,Military,Unknown,,0,Male,Trent Ford
Buster,http://www.imdb.com/title/tt0094819/,UK,1988,$540K,David Green,Buster Edwards,Criminal,Unknown,,0,Male,Phil Collins
Callas Forever,http://www.imdb.com/title/tt0274407/,UK,2002,$446K,Franco Zeffirelli,Maria Callas,Singer,Known,Mediterranean,0,Female,Fanny Ardant
Cannibal! The Musical,http://www.imdb.com/title/tt0115819/,US,1993,-,Trey Parker,Alferd Packer,Criminal,Unknown,,0,Male,Trey Parker
Capone,http://www.imdb.com/title/tt0072761/,US,1975,-,Steve Carver,Al Capone,Criminal,Known,White,0,Male,Ben Gazzara
Capote,http://www.imdb.com/title/tt0379725/,US/Canada,2005,$28.7M,Bennett Miller,Truman Capote ,Author,Unknown,,0,Male,Philip Seymour Hoffman
Captain Kidd,http://www.imdb.com/title/tt0037576/,US,1945,-,Rowland V. Lee,William Kidd,Historical,Known,White,0,Male,Charles Laughton
Captain Phillips,http://www.imdb.com/title/tt1535109/,US,2013,$107M,Paul Greengrass,Richard Phillips,Military,Unknown,,0,Male,Tom Hanks
Caravaggio,http://www.imdb.com/title/tt0090798/,UK,1986,$3.15K,Derek Jarman,Michelangelo Merisi de Caravaggio,Artist,Known,White,0,Male,Multiple
Carbine Williams,http://www.imdb.com/title/tt0044480/,US,1952,-,Richard Thorpe,David Marshall Williams,Other,Unknown,,0,Male,James Stewart
Carve Her Name with Pride,http://www.imdb.com/title/tt0051454/,UK,1958,-,Lewis Gilbert,Violette Bushell Szabo,Military,Known,White,0,Female,Virginia McKenna
Casino,http://www.imdb.com/title/tt0112641/,US,1995,$42.4M,Martin Scorsese,"Frank ""Lefty"" Rosenthal",Criminal,Unknown,,0,Male,Robert De Niro
Casino Jack,http://www.imdb.com/title/tt1194417/,Canada,2010,$1.04M,George Hickenlooper,Jack Abramoff,Other,Unknown,,0,Male,Kevin Spacey
Cass,http://www.imdb.com/title/tt0954981/,UK,2008,-,Jon S. Baird,Cass Pennant,Other,Known,Caribbean,1,Male,Nonso Anozie
Catch a Fire,http://www.imdb.com/title/tt0437232/,US/UK,2006,$4.29M,Phillip Noyce,Patrick Chamusso,Activist,Known,African,1,Male,Derek Luke
Catch Me If You Can,http://www.imdb.com/title/tt0264464/,US/Canada,2002,$164M,Steven Spielberg,Frank Abagnale Jr.,Criminal,Unknown,,0,Male,Leonardo DiCaprio
Cesar Chavez,http://www.imdb.com/title/tt1621046/,US,2014,$5.55M,Diego Luna,Cesar Chavez,Activist,Known,Hispanic (Latino),1,Male,Michael Pe̱a
Chaplin,http://www.imdb.com/title/tt0103939/,US,1992,$9.49M,Richard Attenborough,Charles Spencer Chaplin,Comedian,Known,White,0,Male,Robert Downey Jr.
Charlie Wilson's War,http://www.imdb.com/title/tt0472062/,US,2007,$66.6M,Mike Nichols,Charlie Wilson,Military,Unknown,,0,Male,Tom Hanks
Chasing Mavericks,http://www.imdb.com/title/tt1629757/,US,2012,$6M,"Michael Apted, Curtis Hanson",Jay Moriarity,Athlete,Unknown,,0,Male,Jonny Weston
Chattahoochee,http://www.imdb.com/title/tt0099242/,US,1989,$259K,Mick Jackson,Emmett Foley,Military,Unknown,,0,Male,Gary Oldman
Che: Part One,http://www.imdb.com/title/tt0892255/,US,2008,$1.73M,Steven Soderbergh,Che Guevara,Activist,Known,Hispanic (Latin American),0,Male,Benicio Del Toro
Che: Part Two,http://www.imdb.com/title/tt0374569/,US,2008,-,Steven Soderbergh,Che Guevara,Activist,Known,Hispanic (Latin American),0,Male,Demi��n Bichir
Che!,http://www.imdb.com/title/tt0064158/,US,1969,$2M,Richard Fleischer,Che Guevara,Activist,Known,Hispanic (Latin American),0,Male,Omar Sharif
Chisum,http://www.imdb.com/title/tt0065547/,US,1970,$6M,Andrew V. McLaglen,John Chisum,Other,Unknown,,0,Male,John Wayne
Christopher Columbus: The Discovery,http://www.imdb.com/title/tt0103962/,US/UK,1992,$8.25M,John Glen,Christopher Columbus,Other,Known,White,0,Male,Georges Corraface
Ciao Manhattan,http://www.imdb.com/title/tt0068379/,US,1972,-,"John Palmer, David Weisman",Edie Sedgwick,Actress,Known,White,0,Female,Edie Sedgwick
Cinderella Man,http://www.imdb.com/title/tt0352248/,US,2005,$61.6M,Ron Howard,James Braddock,Athlete,Known,White,0,Male,Russell Crowe
Cleopatra,http://www.imdb.com/title/tt0024991/,US,1934,-,Cecil B. DeMille,Cleopatra,Historical,Known,Middle Eastern,1,Female,Claudette Colbert
Cleopatra,http://www.imdb.com/title/tt0056937/,US/UK,1963,$57.8M,Joseph L. Mankiewicz,Cleopatra,Historical,Known,Middle Eastern,1,Female,Elizabeth Taylor
Coal Miner's Daughter,http://www.imdb.com/title/tt0080549/,US,1980,$79.9M,Michael Apted,Loretta Lynn,Singer,Known,Multi racial,1,Female,Sissy Spacek
Cobb,http://www.imdb.com/title/tt0109450/,US,1994,$1.01M,Ron Shelton,Ty Cobb ,Athlete,Known,White,0,Male,Tommy Lee Jones
Communion,http://www.imdb.com/title/tt0097100/,US/UK,1989,$1.92M,Philippe Mora,Whitley Strieber,Other,Unknown,,0,Male,Christopher Walken
Confessions of a Dangerous Mind,http://www.imdb.com/title/tt0270288/,US/Canada,2002,-,George Clooney,Chuck Barris,Actor,Unknown,,0,Male,Sam Rockwell
Control,http://www.imdb.com/title/tt0421082/,US/UK,2007,$872K,Anton Corbijn,Ian Curtis,Musician,Unknown,,0,Male,Sam Riley
Conviction,http://www.imdb.com/title/tt1244754/,US,2010,$6.78M,Tony Goldwyn,Betty Anne Waters,Other,Unknown,,0,Female,Hilary Swank
Copying Beethoven,http://www.imdb.com/title/tt0424908/,US,2006,$353K,Agnieszka Holland,Ludwig van Beethoven,Musician,Known,White,0,Male,Ed Harris
Counterpunch,http://www.imdb.com/title/tt2051850/,US,2013,-,Kenneth Castillo,Alvaro Orlando,Athlete,Known,Hispanic (Latino),1,Male,Alvaro Orlando
Creation,http://www.imdb.com/title/tt0974014/,UK,2009,$341K,Jon Amiel,Charles Darwin,Academic,Unknown,,0,Male,Paul Bettany
Cromwell,http://www.imdb.com/title/tt0065593/,UK,1970,-,Ken Hughes,Oliver Cromwell ,Historical,Known,White,0,Male,Richard Harris
Cross Creek,http://www.imdb.com/title/tt0085380/,US,1983,$200K,Martin Ritt,Marjorie Kinnan Rawlings,Author,Unknown,,0,Female,Mary Steenburgen
Crutch,http://www.imdb.com/title/tt0422029/,US,2004,-,Rob Moretti,Rob Moretti,Actor,Unknown,,0,Male,Eben Gordon
Cry Freedom,http://www.imdb.com/title/tt0092804/,UK,1987,$5.9M,Richard Attenborough,Steve Biko,Activist,Known,African,1,Male,Denzel Washington
Custer of the West,http://www.imdb.com/title/tt0062844/,US,1967,-,Robert Siodmak,George Armstrong Custer,Military,Known,White,0,Male,Robert Shaw
Dahmer,http://www.imdb.com/title/tt0285728/,US,2002,-,David Jacobson,Jeffrey Dahmer ,Criminal,Known,White,0,Male,Jeremy Renner
Dallas Buyers Club,http://www.imdb.com/title/tt0790636/,US,2013,$27.3M,Jean-Marc Vall���e,Ron Woodroof ,Activist,Unknown,,0,Male,Matthew McConaughey
Dance with a Stranger,http://www.imdb.com/title/tt0088987/,UK,1985,$138K,Mike Newell,Ruth Ellis,Criminal,Unknown,,0,Female,Miranda Richardson
Dangerous Beauty,http://www.imdb.com/title/tt0118892/,US,1998,$4.53M,Marshall Herskovitz,Veronica Franco,Other,Known,White,0,Female,Catherine McCormack
Dangerous Minds,http://www.imdb.com/title/tt0112792/,US,1995,$84.9M,John N. Smith,Louanne Johnson,Teacher,Known,White,0,Female,Michelle Pfeiffer
De-Lovely,http://www.imdb.com/title/tt0352277/,US/UK,2004,$13.3M,Irwin Winkler,Cole Porter,Musician,Known,White,0,Male,Kevin Kline
Death in Granada,http://www.imdb.com/title/tt0117106/,US,1996,$226K,Marcos Zurinaga,Garcia Lorca,Author,Known,Hispanic (White),0,Male,Andy Garcia
Desert Dancer,http://www.imdb.com/title/tt2403393/,UK,2014,$144K,Richard Raymond,Afshin Ghaffarian,Artist,Known,Middle Eastern,1,Male,Reece Ritchie
Desert Flower,http://www.imdb.com/title/tt1054580/,UK,2009,$44.3K,Sherry Hormann,Waris Dirie,Activist,Known,African,1,Female,Soraya Omar-Scego (young) and Liya Kebede (older)
Diana,http://www.imdb.com/title/tt1758595/,UK,2013,$332K,Oliver Hirschbiegel,Princess Diana,Other,Known,White,0,Female,Naomi Watts
Digging Up the Marrow,http://www.imdb.com/title/tt1991031/,US,2014,-,Adam Green,Adam Green,Other,Unknown,,0,Male,Adam Green
Dillinger,http://www.imdb.com/title/tt0037644/,US,1945,$4M,Max Nosseck,John Dillinger,Criminal,Known,White,0,Male,Lawrence Tierney
Dillinger,http://www.imdb.com/title/tt0069976/,US,1973,-,John Milius,John Dillinger,Criminal,Unknown,,0,Male,Warren Oates
Disraeli,http://www.imdb.com/title/tt0019823/,US,1929,-,Alfred E. Green,Benjamin Disraeli,World leader,Known,White,0,Male,George Arliss
Domino,http://www.imdb.com/title/tt0421054/,US/UK,2005,$10.1M,Tony Scott,Domino Harvey,Other,Known,White,0,Female,Keira Knightley
Donnie Brasco,http://www.imdb.com/title/tt0119008/,US,1997,$42M,Mike Newell,Joe Pistone (alias Donnie Brasco),Government,Known,White,0,Male,Johnny Depp
Downtown 81,http://www.imdb.com/title/tt0208993/,US,1981,$100K,Edo Bertoglio,Jean-Michel Basquiat,Artist,Known,Multi racial,1,Male,Jean Michel Basquiat
Dr. Ehrlich's Magic Bullet,http://www.imdb.com/title/tt0032413/,US,1940,-,William Dieterle,Paul Ehrlich,Medicine,Known,White,0,Male,Edward G. Robinson
Dragon: The Bruce Lee Story,http://www.imdb.com/title/tt0106770/,US,1993,$35.1M,Rob Cohen,Bruce Lee,Athlete,Known,Asian American,1,Male,Jason Scott Lee
Dreamchild,http://www.imdb.com/title/tt0089052/,UK,1985,-,Gavin Millar,Alice Liddell Hargreaves,Other,Unknown,,0,Female,Coral Browne
Ed Gein,http://www.imdb.com/title/tt0230169/,US/UK,2000,$5.71K,Chuck Parello,Ed Gein,Criminal,Unknown,,0,Male,Steve Railsback
Ed Wood,http://www.imdb.com/title/tt0109707/,US,1994,$5.89M,Tim Burton,Edward D. Wood,Other,Unknown,,0,Male,Johnny Depp
"Edison, the Man",http://www.imdb.com/title/tt0032432/,US,1940,-,Clarence Brown,Thomas Edison,Academic,Known,White,0,Male,Spencer Tracy
Eichmann,http://www.imdb.com/title/tt0901481/,UK,2007,-,Robert Young,Adolf Eichmann,Military,Known,White,0,Male,Thomas Kretschmann
El cantante,http://www.imdb.com/title/tt0458522/,US,2006,$7.56M,Leon Ichaso,H̩ctor Lavoe,Musician,Known,Hispanic (Latin American),1,Male,Marc Anthony
El Cid,http://www.imdb.com/title/tt0054847/,US,1961,$26.6M,Anthony Mann,Rodrigo Diaz,Historical,Known,Hispanic (White),0,Male,Charlton Heston
Elizabeth,http://www.imdb.com/title/tt0127536/,US/UK,1998,$30M,Shekhar Kapur,Elizabeth I of England ,Historical,Known,White,0,Female,Cate Blanchett
Elizabeth: The Golden Age,http://www.imdb.com/title/tt0414055/,US/UK,2007,$16.3M,Shekhar Kapur,Elizabeth I of England ,Historical,Known,White,0,Female,Cate Blanchett
Erin Brockovich,http://www.imdb.com/title/tt0195685/,US,2000,$126M,Steven Soderbergh,Erin Brockovich,Activist,Unknown,,0,Female,Julia Roberts
Evel Knievel,http://www.imdb.com/title/tt0067069/,US,1971,-,Marvin J. Chomsky,Evel Knievel,Athlete,Known,White,0,Male,George Hamilton
Everyman's War,http://www.imdb.com/title/tt1209319/,US,2009,-,Thad T. Smith,Don Smith,Military,Unknown,,0,Male,Cole Carson
Evita,http://www.imdb.com/title/tt0116250/,US,1996,$50M,Alan Parker,"Eva ""Evita"" Duarte de Peron",Actress / activist,Known,Hispanic (Latin American),0,Female,Madonna
Exodus: Gods and Kings,http://www.imdb.com/title/tt1528100/,UK,2014,$65M,Ridley Scott,Moses,Historical,Known,Middle Eastern (White),0,Male,Christian Bale
Factory Girl,http://www.imdb.com/title/tt0432402/,US,2006,$1.65M,George Hickenlooper,Edie Sedgwick,Actress,Known,White,0,Female,Sienna Miller
Fair Game,http://www.imdb.com/title/tt0977855/,US,2010,$9.53M,Doug Liman,Valerie Plame,Government,Known,White,0,Female,Naomi Watts
Fear Strikes Out,http://www.imdb.com/title/tt0050383/,US,1957,-,Robert Mulligan,Jimmy Piersall,Athlete,Unknown,,0,Male,Anthony Perkins
Fellini's Casanova,http://www.imdb.com/title/tt0074291/,US,1976,-,Federico Fellini,Giacomo Casanova,Historical,Known,White,0,Male,Donald Sutherland
Find Me Guilty,http://www.imdb.com/title/tt0419749/,US,2006,$1.17M,Sidney Lumet,Jackie DiNorscio ,Criminal,Known,White,0,Male,Vin Diesel
Finding Graceland,http://www.imdb.com/title/tt0120026/,US,1998,-,David Winkler,Elvis Presley,Musician,Known,White,0,Male,Harvey Keitel
Finding Neverland,http://www.imdb.com/title/tt0308644/,US/UK,2004,$51.7M,Marc Forster,J.M. Barrie,Author,Known,White,0,Male,Johnny Depp
Fire in the Sky,http://www.imdb.com/title/tt0106912/,US,1993,$20.1M,Robert Lieberman,Travis Walton,Other,Unknown,,0,Male,D.B. Sweeney
Flash of Genius,http://www.imdb.com/title/tt1054588/,US/Canada,2008,$4.23M,Marc Abraham,Robert Kearns,Other,Unknown,,0,Male,Greg Kinnear
Foxcatcher,http://www.imdb.com/title/tt1100089/,US,2014,$12.1M,Bennett Miller,Mark Schultz ,Athlete,Known,White,0,Male,Channing Tatum
Frances,http://www.imdb.com/title/tt0083967/,US,1982,$5M,Graeme Clifford,Frances Farmer,Actress,Known,White,0,Female,Jessica Lange
Francis of Assisi,http://www.imdb.com/title/tt0054892/,US,1961,-,Michael Curtiz,Francis Bernardone,Historical,Known,White,0,Male,Bradford Dillman
Frankie & Alice,http://www.imdb.com/title/tt1221208/,Canada,2010,$693K,Geoffrey Sax,Frankie Murdoch,Other,Known,African American,1,Female,Halle Berry
Freedom Writers,http://www.imdb.com/title/tt0463998/,US,2007,$36.6M,Richard LaGravenese,Erin Gruwell,Other,Known,White,0,Female,Hilary Swank
Freud,http://www.imdb.com/title/tt0055998/,US,1962,-,John Huston,Sigmund Freud,Academic,Known,White,0,Male,Montgomery Clift
Frida,http://www.imdb.com/title/tt0120679/,US/Canada,2002,$25.8M,Julie Taymor,Frida Kahlo,Artist,Known,Hispanic (Latin American),1,Female,Salma Hayek
Fruitvale Station,http://www.imdb.com/title/tt2334649/,US,2013,$16.1M,Ryan Coogler,Oscar Grant III,Other,Known,African American,1,Male,Michael B. Jordan
Funny Girl,http://www.imdb.com/title/tt0062994/,US,1968,$223K,William Wyler,Fanny Brice,Actress,Known,White,0,Female,Barbra Streisand
Fur: An Imaginary Portrait of Diane Arbus,http://www.imdb.com/title/tt0422295/,US,2006,$221K,Steven Shainberg,Diane Arbus,Other,Known,White,0,Female,Nicole Kidman
Gandhi,http://www.imdb.com/title/tt0083987/,UK,1982,-,Richard Attenborough,Mahatma Gandhi,Activist,Known,Indian,1,Male,Ben Kingsley
Gentleman Jim,http://www.imdb.com/title/tt0034778/,US,1942,-,Raoul Walsh,James J Corbett,Athlete,Known,White,0,Male,Errol Flynn
Geronimo,http://www.imdb.com/title/tt0056016/,US,1962,-,Arnold Laven,Geronimo,Military,Known,Native American,1,Male,Chuck Connors
Get on Up,http://www.imdb.com/title/tt2473602/,US/UK,2014,$30.5M,Tate Taylor,James Brown,Singer,Known,African American,1,Male,Chadwick Boseman
Get Rich or Die Tryin',http://www.imdb.com/title/tt0430308/,US/Canada,2005,$31M,Jim Sheridan,Curtis '50 Cent' Jackson,Singer,Known,African American,1,Male,50 Cent
Girl with a Pearl Earring,http://www.imdb.com/title/tt0335119/,UK,2003,$11.6M,Peter Webber,Johannes Vermeer,Artist,Known,White,0,Male,Colin Firth
"Girl, Interrupted",http://www.imdb.com/title/tt0172493/,US,1999,$28.9M,James Mangold,Susanna Kaysen,Author,Unknown,,0,Female,Winona Ryder
Glory Road,http://www.imdb.com/title/tt0385726/,US,2006,$42.6M,James Gartner,Don Haskins,Athlete,Unknown,,0,Male,"With: Josh Lucas, Derek Luke, Austin Nichols"
Gods and Monsters,http://www.imdb.com/title/tt0120684/,US/UK,1998,$6.39M,Bill Condon,James Whale,Other,Known,White,0,Male,Ian McKellen
Goltzius and the Pelican Company,http://www.imdb.com/title/tt1851006/,UK,2012,-,Peter Greenaway,Hendrik Goltzius,Artist,Known,White,0,Male,Ramsey Nasr
"Good Morning, Vietnam",http://www.imdb.com/title/tt0093105/,US,1987,$124M,Barry Levinson,Adrian Cronauer ,Media,Unknown,,0,Male,Robin Williams
Good Vibrations,http://www.imdb.com/title/tt1920945/,UK,2012,-,"Lisa Barros D'Sa, Glenn Leyburn",Terri Hooley,Musician,Unknown,,0,Male,Richard Dormer
Goodfellas,http://www.imdb.com/title/tt0099685/,US,1990,$46.8M,Martin Scorsese,Henry Hill,Criminal,Known,White,0,Male,Ray Liotta
Gorillas in the Mist,http://www.imdb.com/title/tt0095243/,US,1988,$24.7M,Michael Apted,Dian Fossey,Academic,Unknown,,0,Female,Sigourney Weaver
Goya's Ghosts,http://www.imdb.com/title/tt0455957/,US,2006,$1M,Milos Forman,Francisco Goya,Artist,Known,Hispanic (White),0,Male,Stellan Skarsg̴rd
Grace of Monaco,http://www.imdb.com/title/tt2095649/,US,2014,-,Olivier Dahan,Grace Kelly,Actress,Known,White,0,Male,Nicole Kidman
Gracie,http://www.imdb.com/title/tt0441007/,US,2007,$2.96M,Davis Guggenheim,Elisabeth Shue,Athlete,Known,White,0,Female,Carly Schroeder
Greased Lightning,http://www.imdb.com/title/tt0076106/,US,1977,-,Michael Schultz,Wendell Scott,Athlete,Known,African American,1,Male,Richard Pryor
Great Balls of Fire!,http://www.imdb.com/title/tt0097457/,US,1989,$13.7M,Jim McBride,Jerry Lee Lewis,Musician,Unknown,,0,Male,Dennis Quaid
Grey Owl,http://www.imdb.com/title/tt0128239/,Canada/UK,1999,$315K,Richard Attenborough,Grey Owl (Archibald Belaney),Other,Known,Multi racial,1,Male,Pierce Brosnan
Hans Christian Andersen,http://www.imdb.com/title/tt0044685/,US,1952,-,Charles Vidor,Hans Christian Andersen,Author,Known,White,0,Male,Danny Kaye
Harlow,http://www.imdb.com/title/tt0059252/,US,1965,-,Gordon Douglas,Jean Harlow,Actress,Known,White,0,Female,Carroll Baker
Heart Like a Wheel,http://www.imdb.com/title/tt0085656/,US,1983,-,Jonathan Kaplan,Shirley Muldowney,Athlete,Known,White,0,Female,Bonnie Bedelia
Heaven & Earth,http://www.imdb.com/title/tt0107096/,US,1993,$5.86M,Oliver Stone,Le Ly Hayslip,Other,Known,Asian American,1,Female,Hiep Thi Le
Hell to Eternity,http://www.imdb.com/title/tt0053901/,US,1960,-,Phil Karlson,Guy Gabaldon,Military,Known,Hispanic (Latino),1,Male,Jeffrey Hunter
Henry V,http://www.imdb.com/title/tt0036910/,UK,1944,-,Laurence Olivier,Henry V of England,Historical,Known,White,0,Male,Laurence Olivier
Henry V,http://www.imdb.com/title/tt0097499/,UK,1989,$10.2M,Kenneth Branagh,Henry V of England,Historical,Known,White,0,Male,Kenneth Branagh
High Roller: The Stu Ungar Story,http://www.imdb.com/title/tt0338467/,US,2003,-,A.W. Vidmer,Stu Ungar,Other,Known,White,0,Male,Michael Imperioli
His Majesty O'Keefe,http://www.imdb.com/title/tt0045876/,US,1954,-,Byron Haskin,David Dion O'Keefe,Other,Known,White,0,Male,Burt Lancaster
Hitler: A Film from Germany,http://www.imdb.com/title/tt0076147/,UK,1977,-,Hans-J�_rgen Syberberg,Adolf Hitler,Military,Known,White,0,Male,Heinz Schubert
Hitler: The Last Ten Days,http://www.imdb.com/title/tt0070184/,UK,1973,-,Ennio De Concini,Adolf Hitler,Military,Known,White,0,Male,Alec Guinness
Hoffa,http://www.imdb.com/title/tt0104427/,US,1992,$24.3M,Danny DeVito,Jimmy Hoffa,Activist,Known,White,0,Male,Jack Nicholson
Hollywoodland,http://www.imdb.com/title/tt0427969/,US,2006,$14.4M,Allen Coulter,George Reeves,Actor,Unknown,,0,Male,Ben Affleck
Houdini,http://www.imdb.com/title/tt0045886/,US,1953,-,George Marshall,Harry Houdini,Other,Known,White,0,Male,Tony Curtis
Howl,http://www.imdb.com/title/tt1049402/,US,2010,$617K,"Rob Epstein, Jeffrey Friedman",Allen Ginsberg,Author,Known,White,0,Male,James Franco
Hunger,http://www.imdb.com/title/tt0986233/,UK,2008,$154K,Steve McQueen,Bobby Sands,Activist,Known,White,0,Male,Michael Fassbender
I Am a Sex Addict,http://www.imdb.com/title/tt0428649/,US,2005,$113K,Caveh Zahedi,Caveh Zahedi,Actor,Known,Middle Eastern,1,Male, Caveh Zahedi
I Love You Phillip Morris,http://www.imdb.com/title/tt1045772/,US,2009,$2.04M,"Glenn Ficarra, John Requa",Steven Russell,Criminal,Unknown,,0,Male,Jim Carrey
I Shot Andy Warhol,http://www.imdb.com/title/tt0116594/,US/UK,1996,$1.81M,Mary Harron,Valerie Solanas,Activist,Known,Hispanic (White),0,Female,Lil Taylor
I Want to Live!,http://www.imdb.com/title/tt0051758/,US,1958,-,Robert Wise,Barbara Graham,Criminal,Unknown,,0,Female,Susan Hayward
I'll Cry Tomorrow,http://www.imdb.com/title/tt0048191/,US,1955,-,Daniel Mann,Lillian Roth,Actress,Known,White,0,Female,Susan Hayward
I'll See You in My Dreams,http://www.imdb.com/title/tt0043669/,US,1951,-,Michael Curtiz,Gus Kahn,Musician,Known,White,0,Male,Danny Thomas
