id,name,latitude,longitude,price,room_type,number_of_reviews
34888397,Beautiful one bedroom apartment in Madrid,40.44398,-3.67882,70,Entire home/apt,0
33635495,Cozy and Stylish - 1BD 1BT - Lavapies,40.41111,-3.70176,95,Entire home/apt,5
34425872,Habitación privada 5 PAX,40.35041,-3.68716,30,Private room,4
34852480,Suit Room Like Apartment in the hard of Madrid.,40.40733,-3.70282,31,Private room,6
3756051,Luminosa habitación en pleno centro,40.42267,-3.67306,38,Private room,3
35455872,"Plaza Santa Ana, 2 BR, 1 bathroom,6 people, 102",40.41586,-3.70058,85,Entire home/apt,6
25528473,Habitación con Baño Privado en Avenida America,40.43507,-3.67182,50,Private room,0
27329533,Alquilo habitación Barrio Salamanca (Centro),40.43228,-3.67269,20,Private room,1
30281700,Exclusivo y luminoso piso con vistas RETIRO- IBIZA,40.41724,-3.67641,99,Entire home/apt,32
36780661,Cozy & Renewed apartment Francos Rodriguez,40.45511,-3.7073,50,Entire home/apt,4
26608790,"Precioso apartamento 2 dorm, 2 baños Puente Toledo",40.39862,-3.71675,110,Entire home/apt,0
26364133,"Madriz Te Quiere
MALASAÑA",40.42658,-3.70577,90,Entire home/apt,21
19046146,LOVELY APT IN CALLE MAYOR& PUERTA DEL SOL(WIFI/AC),40.41749,-3.70609,55,Entire home/apt,169
24676491,Feliz Verano en Madrid!,40.41305,-3.7072,20,Private room,10
28310895,GRAN VIA CENTRO APARMENT 20 PUERTA DE SOL MALASAÑA,40.42154,-3.70583,60,Entire home/apt,0
21516513,Limpieza incluida!! Confortable habitación doble.,40.43979,-3.64647,24,Private room,55
